date,Open,High,Low,Close,Adj Close,Volume,Unnamed: 7,Goal II: Open t+1 - Open t,Goal II: Open t+1 - Close t,P_mean,P_sum,twt_count
2020-12-28,224.449997,226.029999,223.020004,224.960007,222.629654,17933500.0,,1.0,1,-0.15053763440860216,-14,93
2020-12-29,226.309998,227.179993,223.580002,224.149994,221.828049,17403200.0,,-1.0,1,-0.15384615384615385,-10,65
2020-12-30,225.229996,225.630005,221.470001,221.679993,219.383621,20272300.0,,-1.0,1,-0.16,-8,50
2020-12-31,221.699997,223.0,219.679993,222.419998,220.115967,20942100.0,,1.0,1,-0.3026315789473684,-23,76
2021-01-04,222.529999,223.0,214.809998,217.690002,215.434967,37130100.0,,-1.0,-1,-0.1276595744680851,-6,47
2021-01-05,217.259995,218.520004,215.699997,217.899994,215.642792,23823000.0,,-1.0,-1,-0.1509433962264151,-8,53
2021-01-06,212.169998,216.490005,211.940002,212.25,210.051315,35930700.0,,1.0,1,-0.14285714285714285,-13,91
2021-01-07,214.039993,219.339996,213.710007,218.289993,216.028748,27694500.0,,1.0,1,-0.15254237288135594,-9,59
2021-01-08,218.679993,220.580002,217.029999,219.619995,217.344971,22956200.0,,-1.0,-1,-0.17777777777777778,-8,45
2021-01-11,218.470001,218.910004,216.729996,217.490005,215.237045,23031300.0,,-1.0,-1,-0.43902439024390244,-18,41
2021-01-12,216.5,217.100006,213.320007,214.929993,212.703537,23249300.0,,-1.0,-1,-0.10810810810810811,-8,74
2021-01-13,214.020004,216.759995,213.929993,216.339996,214.098953,20087100.0,,1.0,-1,-0.2830188679245283,-15,53
2021-01-14,215.910004,217.460007,212.740005,213.020004,210.813354,29480800.0,,-1.0,1,-0.24096385542168675,-20,83
2021-01-15,213.520004,214.509995,212.029999,212.649994,210.447174,31746500.0,,1.0,1,-0.22727272727272727,-15,66
2021-01-19,213.75,216.979996,212.630005,216.440002,214.197922,30480900.0,,1.0,1,-0.06504065040650407,-8,123
2021-01-20,217.699997,225.789993,217.289993,224.339996,222.016068,37777300.0,,1.0,1,-0.04861111111111111,-7,144
2021-01-21,224.699997,226.300003,222.419998,224.970001,222.639572,30709400.0,,1.0,1,-0.06611570247933884,-8,121
2021-01-22,227.080002,230.070007,225.800003,225.949997,223.60939,30172700.0,,1.0,1,-0.041176470588235294,-7,170
2021-01-25,229.119995,229.779999,224.220001,229.529999,227.152313,33152100.0,,1.0,1,-0.07317073170731707,-9,123
2021-01-26,231.860001,234.179993,230.080002,232.330002,229.923309,49169600.0,,1.0,1,-0.009456264775413711,-8,846
