Open,High,Low,Close,Volume,Dividends,Stock Splits
215.23105326246505,217.35984260402935,215.01720133019816,216.5238800048828,10550600,0.0,0.0
218.1763647269372,219.71220371311867,216.7863419698416,218.672119140625,17933500,0.0,0.0
219.9843640994579,220.8300418189081,217.33067499780245,217.88473510742188,17403200,0.0,0.0
218.9345407553504,219.32336916350644,215.27964271240688,215.4837646484375,20272300,0.0,0.0
215.5032181528263,216.7668845719454,213.53967540411162,216.20309448242188,20942100,0.0,0.0
216.31001343014378,216.76687754248897,208.80579567572218,211.6053009033203,37130100,0.0,0.0
211.18732232884028,212.41211334070863,209.67092853537284,211.80943298339844,23823000,0.0,0.0
206.23957136008468,210.4388288729676,206.0160043116251,206.3173370361328,35930700,0.0,0.0
208.05731501064983,213.2091765275901,207.73655196463642,212.1885223388672,27694500,0.0,0.0
212.56762551010505,214.41452713856236,210.96375091513076,213.48135375976562,22956200,0.0,0.0
212.36350762450937,212.79121147995076,210.6721373322515,211.41090393066406,23031300,0.0,0.0
210.448578667143,211.03181391738076,207.35747040483312,208.92245483398438,23249300,0.0,0.0
208.03788432534614,210.70128849342478,207.9503886624914,210.29302978515625,20087100,0.0,0.0
209.87506214262433,211.38174076469514,206.79366919456726,207.0658416748047,29480800,0.0,0.0
207.5518540005242,208.51417277382635,206.10349601818479,206.70616149902344,31746500,0.0,0.0
207.77544496811052,210.91515865014338,206.68675498525323,210.3902587890625,30480900,0.0,0.0
211.61499434077533,219.47886459000932,211.2164508228459,218.06939697265625,37777300,0.0,0.0
218.41935115614226,219.9746350890399,216.20308119274958,218.6818084716797,30709400,0.0,0.0
220.73284985467052,223.63928119281297,219.48862854021542,219.63442993164062,30172700,0.0,0.0
222.71582104779566,223.35737682919336,217.9527877593804,223.11436462402344,33152100,0.0,0.0
225.37925644015695,227.6344021542826,223.64901060091665,225.83612060546875,49169600,0.0,0.0
231.34762221674504,233.7194237420492,223.70731779730386,226.39016723632812,69870600,0.0,0.0
229.02440801542522,235.85790958414805,228.51893850921857,232.25160217285156,49111200,0.0,0.0
229.39378028341068,231.36703797701716,224.8834748648407,225.47642517089844,42503100,0.0,0.0
228.4897768471453,235.72182192174537,225.93328388780654,232.95147705078125,33314200,0.0,0.0
234.55539017408645,235.53715417171796,232.01834208551142,232.81541442871094,25916300,0.0,0.0
232.8737199615204,238.23941823952245,232.57237239791667,236.2078399658203,27158100,0.0,0.0
235.8773698060661,236.441159900549,233.65136970610016,235.2455291748047,25296100,0.0,0.0
235.45938183567378,236.48003606451897,233.69997584224788,235.4302215576172,18054800,0.0,0.0
236.35365879120909,236.86884346645536,234.0790681685421,235.6926727294922,22211900,0.0,0.0
235.1094278103788,237.91864812124615,234.6331334127179,236.95632934570312,23565000,0.0,0.0
238.15195722461726,239.04624034534132,234.15683604278217,236.03289794921875,22186700,0.0,0.0
237.9381071118102,238.29776042606477,235.38161398887556,237.65621948242188,15751100,0.0,0.0
237.11184304491474,238.44355991037713,235.94538751837288,238.14222717285156,16561100,0.0,0.0
238.18111709357802,239.250376710157,236.1300935252584,236.88829040527344,26728500,0.0,0.0
235.11509750735598,238.02820800033155,234.74486345147974,237.92103576660156,21653500,0.56,0.0
235.58270764645712,237.6579297992827,234.6668750676901,237.5215301513672,16925600,0.0,0.0
237.48261207582726,237.58978431080664,234.00439806768242,234.7740936279297,25262600,0.0,0.0
231.31534385776501,231.8122251467219,226.42441628886894,228.48016357421875,36446900,0.0,0.0
224.4076563922922,228.7919504301398,222.84879034336703,227.27206420898438,30228700,0.0,0.0
224.0958460133587,229.1524001444609,223.11182106277545,228.5191192626953,26339700,0.0,0.0
226.11267224791266,228.55812881801992,222.02066722418192,223.1021270751953,39542200,0.0,0.0
225.57681781484285,229.31807881293807,223.6379800445809,226.40496826171875,37819200,0.0,0.0
229.8344346160135,231.36407325544118,227.15514376587728,230.8477020263672,25324000,0.0,0.0
230.91592170940737,231.19847346674396,227.44745988678915,227.85665893554688,22812500,0.0,0.0
226.19060634242416,227.57409291105094,221.41658831851066,221.70887756347656,34029500,0.0,0.0
220.90995990935812,226.51211320699093,218.49371613105836,220.90020751953125,44727800,0.0,0.0
223.61849949055713,227.27207807839181,220.63718174151592,225.64501953125,41872800,0.0,0.0
225.42091918560095,227.36949440229165,221.28994924074408,221.5432586669922,35267400,0.0,0.0
226.89208333226028,229.32780214210865,225.71318888705662,227.76893615722656,33080500,0.0,0.0
230.90616297649987,230.90616297649987,226.0736899020832,226.4439239501953,29746800,0.0,0.0
228.91861936271258,233.02036180349717,228.2853235074757,231.03282165527344,29907600,0.0,0.0
227.99304288811686,229.7565159857992,227.23309972622033,229.6883087158203,22653700,0.0,0.0
228.91864352930747,229.14272553671861,225.84962836789643,228.77249145507812,26034900,0.0,0.0
230.20467662852903,233.8874826262431,229.87342240716725,231.59791564941406,28092200,0.0,0.0
230.0780140130551,232.41631320564585,227.23309596521815,230.94512939453125,29562100,0.0,0.0
226.5803291058607,228.16842270178861,224.40767185115308,224.7876434326172,34833000,0.0,0.0
225.07992544885104,226.49263949514852,223.45286694130024,224.42715454101562,46430700,0.0,0.0
224.34917840085058,230.80869417519284,224.22251627332236,229.92210388183594,30127000,0.0,0.0
231.38357012435037,234.85203164141873,230.97437111164055,231.47125244140625,31638400,0.0,0.0
231.7343238701093,231.8804610712634,229.26937730097868,229.40577697753906,25620100,0.0,0.0
229.24987995201016,230.84771105410147,225.61579129213138,226.36598205566406,34061900,0.0,0.0
225.59632016111485,230.62364826669707,225.59632016111485,230.39955139160156,25479900,0.0,0.0
